Principal Component,Eigenvalue,Explained Variance Ratio
PC1,11.510297772644554,0.12265641958411048
PC2,6.867122033446295,0.07317765518382036
PC3,6.411872714776476,0.06832641218827826
PC4,5.401178408649656,0.057556217764795484
PC5,3.89817087974397,0.04153981873282008
PC6,3.6635930567908486,0.03904010270065573
PC7,3.2361622433446016,0.03448530018965213
PC8,3.0647783193193683,0.03265899309400341
PC9,2.770126813740701,0.029519117878503812
PC10,2.5635155633333357,0.027317420170822268
PC11,2.122251909413744,0.022615211683131346
PC12,2.0682908376415727,0.02204018990774116
PC13,2.0081357271590385,0.02139916301015648
PC14,1.8904346359231354,0.020144912710355446
PC15,1.7608659073889457,0.01876419809758154
PC16,1.6897901050066257,0.018006797758208723
PC17,1.5690374808101186,0.01672002961094764
PC18,1.4827643830320805,0.01580068334476909
PC19,1.4694325063022944,0.01565861575465873
PC20,1.3864885387864059,0.014774745477577077
PC21,1.3510583825439055,0.0143971934632114
PC22,1.2435852228379074,0.013251934389005859
PC23,1.1571454333803033,0.012330811817383795
PC24,1.131331401912553,0.01205573147303417
PC25,1.0478955614708525,0.011166619683251269
PC26,1.0202733388594094,0.010872270832040233
PC27,0.9909276734941914,0.010559556572591142
PC28,0.9428953201641773,0.010047712604691356
PC29,0.9093134285473908,0.009689856129564708
PC30,0.8322778993880474,0.008868947550647772
PC31,0.814384833387801,0.008678274863083743
PC32,0.7652833207039006,0.008155037683565729
PC33,0.7046969615327867,0.007509415299301522
PC34,0.6931427412388982,0.0073862908310794615
PC35,0.6394580505456728,0.006814214236974238
PC36,0.6269580511682187,0.006681011326091605
PC37,0.596518179623914,0.006356636950208987
PC38,0.5874034673675902,0.006259508449019637
PC39,0.5499403428503491,0.005860292650220823
PC40,0.5268650238325041,0.005614396664956516
PC41,0.5043815340162732,0.00537480734979833
PC42,0.4565075610593702,0.0048646511201206055
PC43,0.442869835585295,0.004719324334405596
PC44,0.4281044244815748,0.004561980667417762
PC45,0.4165976069645354,0.004439361334249676
PC46,0.39254708090917656,0.004183073315179001
PC47,0.36701518575257963,0.003910999481212015
PC48,0.3460438949393184,0.0036875245115787327
PC49,0.3156768576087007,0.0033639262740767658
PC50,0.3016179409111613,0.0032141111763779287
PC51,0.29331555808609716,0.003125639047206851
PC52,0.28221793880917745,0.003007380225992894
PC53,0.26410765447689055,0.002814392809183593
PC54,0.2557220040991577,0.00272503336153652
PC55,0.2440342776850731,0.0026004862209371435
